,zwst (mg/l),egv (mS/m),cl (mg/l),so4 (ug/l),nh4 (mg N/l),nkj (mg N/l),no2 (mg N/l),no3 (mg N/l),n (mg N/l),po4o (mg P/l),po4 (mg P/l),czv (mg O2/l),bzv-5 (mg/l),na (mg/l),k (mg/l),ph (pH)
2014-10-22,93.5,6569.5,27100.0,111.5,1.0,8.0,19.0,116.0,143.0,1.5,3.0,2120.0,1133.3333333333333,14333.333333333334,13.666666666666666,7.0
2014-11-19,166.0,710.0,2050.0,60.0,1.5,160.5,0.0,1.5,161.0,0.0,5.5,2995.0,1336.6666666666667,995.0,15.0,8.0
2014-12-24,539.0,1625.0,6195.0,121.5,12.5,21.0,3.0,26.5,52.0,0.0,1.0,1580.0,613.3333333333334,4050.0,25.5,7.0
2015-01-15,179.5,4051.0,14400.0,101.5,42.0,51.5,0.0,75.5,128.0,2.5,4.5,2035.0,1105.0,9800.0,31.142857142857142,7.0
2015-01-29,156.0,4226.0,14600.0,130.0,12.0,20.0,2.0,92.0,114.0,2.0,4.0,2570.0,725.0,10100.0,43.57142857142857,7.0
2015-03-12,46.5,3738.0,12855.0,147.0,40.5,49.0,2.0,101.0,153.0,2.5,3.5,2410.0,1120.0,10400.0,56.0,7.0
2015-04-09,76.0,4049.0,14300.0,191.0,19.0,26.0,2.0,85.0,113.0,2.0,3.0,3010.0,1375.0,10400.0,56.0,7.0
2015-05-14,85.0,3898.0,17000.0,128.0,26.0,33.0,5.0,89.0,130.0,1.0,2.0,2730.0,1150.0,10400.0,56.0,7.0
2015-06-04,59.0,3885.5,14310.0,126.0,8.5,24.5,5.5,76.0,104.5,1.0,2.0,2245.0,1236.6666666666667,10400.0,56.0,7.0
2015-07-02,63.0,4482.5,16700.0,100.5,26.5,38.0,10.5,87.0,135.0,4.5,6.0,1317.5,536.6666666666666,10400.0,56.0,7.0
2015-07-30,69.0,4903.5,18550.0,72.0,1.5,6.5,8.0,75.5,88.5,1.0,2.0,902.5,895.0,10400.0,56.0,7.0
2015-08-27,200.0,3311.0,11845.0,189.0,4.5,21.5,9.5,24.5,56.5,0.5,1.5,1127.5,590.0,10400.0,56.0,7.5
2015-09-24,79.5,5647.0,23100.0,84.5,1.5,11.5,7.5,127.0,145.0,2.0,3.5,2515.0,1470.0,10400.0,56.0,7.0
2015-10-22,78.0,1845.0,6085.0,130.5,34.0,52.0,4.0,23.5,81.5,0.5,1.5,1505.0,826.6666666666666,10400.0,56.0,7.0
2015-11-19,53.0,1912.0,6405.0,160.0,13.5,12.0,10.0,27.0,50.0,0.0,1.0,1057.5,523.3333333333334,10400.0,56.0,7.0
2015-12-03,65.5,3105.0,10715.0,162.5,15.0,21.0,11.0,61.0,95.0,0.5,2.0,1055.0,500.0,10400.0,56.0,7.0
2015-12-31,54.5,5639.0,21688.0,110.0,46.0,56.0,1.0,170.0,226.5,2.5,2.5,1294.0,490.0,10400.0,56.0,7.0
2016-01-22,115.0,2705.0,9104.5,493.0,35.0,44.0,3.0,73.0,120.5,1.0,2.0,1664.5,774.0,10400.0,56.0,7.0
2016-02-12,83.0,1708.0,6029.0,133.0,33.0,14.0,3.0,37.0,54.0,1.0,1.0,2096.0,870.0,10400.0,56.0,7.0
2016-03-18,174.0,3435.0,12824.5,566.0,40.0,46.0,0.5,74.0,121.5,1.5,2.5,1762.0,1024.5,10400.0,56.0,7.0
2016-04-15,84.0,734.5,1908.5,235.5,23.0,60.0,0.0,0.0,79.0,1.0,2.0,1918.5,870.3333333333333,10400.0,56.0,7.0
2016-04-29,86.0,529.5,1134.5,235.5,63.5,74.5,0.0,13.5,89.0,0.5,1.5,1884.0,814.0,10400.0,56.0,7.0
2016-05-27,313.0,723.0,1971.0,102.25,37.0,58.0,0.5,1.0,59.5,0.5,1.75,2199.0,897.75,10400.0,56.0,7.0
2016-06-10,324.0,2025.5,7432.0,76.75,29.0,49.5,1.5,36.0,86.0,0.0,1.25,1834.0,639.25,10400.0,56.0,7.0
2016-07-08,60.0,4130.0,17000.0,244.0,4.0,13.5,6.0,78.5,100.5,1.0,2.0,1150.0,670.0,10400.0,56.0,7.0
2016-07-29,160.0,4300.0,17500.0,68.0,4.5,14.5,6.0,92.0,110.0,1.5,2.5,1650.0,690.0,10400.0,56.0,7.0
2016-08-26,417.5,3666.5,14700.0,240.0,3.5,11.5,3.5,61.0,79.0,2.0,3.5,2200.0,985.0,10400.0,56.0,7.0
2016-09-23,86.0,1140.5,3500.0,83.0,31.0,28.5,0.0,4.5,32.5,1.0,2.0,2200.0,845.0,10400.0,56.0,7.0
2016-10-21,81.5,3885.0,15500.0,132.0,13.0,30.5,1.5,90.0,120.0,1.5,2.0,2250.0,950.0,10400.0,56.0,7.0
2016-11-25,190.5,4905.0,18500.0,2291.0,21.5,29.5,0.0,103.0,135.0,2.5,3.0,1700.0,835.0,10400.0,56.0,7.0
2016-12-30,150.5,4680.0,19500.0,45.0,32.5,42.5,2.0,102.0,145.0,2.5,4.0,2450.0,1155.0,10400.0,56.0,7.0
2017-02-12,180.0,5320.0,21000.0,91.0,14.5,25.0,0.0,135.0,160.0,2.0,3.5,2945.0,1515.0,10400.0,56.0,7.0
