,# STN,YYYYMMDD,HH,DD,FH,FF,FX,T,TD,SQ,Q,DR,RH,U,IX
2014-10-22,286.0,20141022.0,12.5,303.75,87.5,89.16666666666667,137.5,102.20833333333333,58.208333333333336,0.0,4.916666666666667,0.4583333333333333,0.16666666666666666,74.45833333333333,6.0
2014-11-19,286.0,20141119.0,12.5,60.416666666666664,20.416666666666668,19.166666666666668,31.25,74.70833333333333,64.45833333333333,1.0833333333333333,11.5,0.0,0.0,93.375,6.0
2014-12-24,286.0,20141224.0,12.5,245.83333333333334,81.66666666666667,81.66666666666667,124.16666666666667,74.54166666666667,52.166666666666664,0.875,7.958333333333333,2.75,2.0416666666666665,85.91666666666667,6.0
2015-01-15,286.0,20150115.0,12.5,196.66666666666666,100.83333333333333,99.58333333333333,149.16666666666666,68.79166666666667,47.416666666666664,0.0,2.0416666666666665,4.416666666666667,2.0833333333333335,86.41666666666667,6.0
2015-01-29,286.0,20150129.0,12.5,203.75,73.33333333333333,72.5,112.91666666666667,17.916666666666668,4.333333333333333,1.125,12.291666666666666,1.6666666666666667,0.5416666666666666,90.83333333333333,6.0
2015-03-12,286.0,20150312.0,12.5,119.16666666666667,25.833333333333332,25.833333333333332,40.833333333333336,31.666666666666668,4.791666666666667,3.0416666666666665,53.958333333333336,0.0,0.0,84.29166666666667,6.0
2015-04-09,286.0,20150409.0,12.5,274.5833333333333,19.583333333333332,20.416666666666668,31.666666666666668,74.91666666666667,57.041666666666664,2.5833333333333335,62.833333333333336,0.0,0.0,89.29166666666667,6.0
2015-05-14,286.0,20150514.0,12.5,221.25,36.25,38.75,56.666666666666664,90.20833333333333,55.333333333333336,0.625,53.875,0.0,0.0,79.16666666666667,6.0
2015-06-04,286.0,20150604.0,12.5,149.16666666666666,25.416666666666668,25.416666666666668,44.166666666666664,133.04166666666666,76.83333333333333,6.041666666666667,123.95833333333333,0.0,0.0,71.625,6.0
2015-07-02,286.0,20150702.0,12.5,168.75,54.166666666666664,55.833333333333336,90.83333333333333,258.0833333333333,165.16666666666666,6.041666666666667,116.45833333333333,0.2916666666666667,5.833333333333333,58.833333333333336,6.0
2015-07-30,286.0,20150730.0,12.5,274.5833333333333,63.75,65.0,106.25,137.5,104.0,2.125,65.70833333333333,0.25,0.08333333333333333,81.0,6.0
2015-08-27,286.0,20150827.0,12.5,201.25,57.916666666666664,57.083333333333336,88.33333333333333,160.625,144.08333333333334,0.08333333333333333,23.333333333333332,1.5833333333333333,2.5833333333333335,90.0,6.0
2015-09-24,286.0,20150924.0,12.5,200.0,59.583333333333336,60.833333333333336,90.41666666666667,124.45833333333333,113.625,0.3333333333333333,21.416666666666668,1.5833333333333333,1.0416666666666667,93.16666666666667,6.0
2015-10-22,286.0,20151022.0,12.5,232.91666666666666,55.416666666666664,53.75,79.58333333333333,116.75,102.5,0.0,8.583333333333334,1.3333333333333333,0.2916666666666667,91.125,6.0
2015-11-19,286.0,20151119.0,12.5,247.91666666666666,100.83333333333333,100.0,151.25,103.08333333333333,71.16666666666667,0.8333333333333334,12.541666666666666,1.75,1.375,80.83333333333333,6.0
2015-12-03,286.0,20151203.0,12.5,193.33333333333334,63.75,64.16666666666667,91.66666666666667,88.125,61.791666666666664,1.0833333333333333,10.208333333333334,0.0,0.0,83.58333333333333,6.0
2015-12-31,286.0,20151231.0,12.5,188.75,65.41666666666667,64.58333333333333,97.08333333333333,63.458333333333336,38.583333333333336,1.4583333333333333,9.541666666666666,0.6666666666666666,0.5,84.125,6.0
2016-01-22,286.0,20160122.0,12.5,149.16666666666666,49.583333333333336,50.416666666666664,69.58333333333333,-25.041666666666668,-39.208333333333336,3.0,24.708333333333332,1.4583333333333333,1.1666666666666667,89.29166666666667,6.0
2016-02-12,286.0,20160212.0,12.5,141.25,32.5,32.5,48.333333333333336,11.375,4.041666666666667,0.3333333333333333,14.291666666666666,0.0,0.0,94.95833333333333,6.0
2016-03-18,286.0,20160318.0,12.5,317.0833333333333,50.0,50.416666666666664,75.0,55.583333333333336,39.375,0.0,12.916666666666666,0.0,0.0,89.75,6.0
2016-04-15,286.0,20160415.0,12.5,199.16666666666666,35.833333333333336,36.666666666666664,56.25,94.625,75.79166666666667,0.4583333333333333,30.25,2.0833333333333335,1.1666666666666667,88.16666666666667,6.0
2016-04-29,286.0,20160429.0,12.5,215.83333333333334,62.916666666666664,63.75,101.25,60.666666666666664,35.916666666666664,0.375,29.791666666666668,2.5,2.9583333333333335,84.58333333333333,6.0
2016-05-27,286.0,20160527.0,12.5,90.83333333333333,29.166666666666668,29.583333333333332,48.75,129.16666666666666,112.54166666666667,2.8333333333333335,84.29166666666667,0.0,0.0,90.29166666666667,6.0
2016-06-10,286.0,20160610.0,12.5,281.25,36.666666666666664,35.833333333333336,56.666666666666664,132.125,90.79166666666667,3.25,96.33333333333333,0.0,0.0,77.45833333333333,6.0
2016-07-08,286.0,20160708.0,12.5,216.25,42.5,42.916666666666664,71.25,159.41666666666666,142.83333333333334,1.0833333333333333,40.833333333333336,1.2083333333333333,1.9583333333333333,90.08333333333333,6.0
2016-07-29,286.0,20160729.0,12.5,220.0,44.583333333333336,45.0,75.83333333333333,188.79166666666666,157.20833333333334,1.0416666666666667,53.166666666666664,0.08333333333333333,0.3333333333333333,82.83333333333333,6.0
2016-08-26,286.0,20160826.0,12.5,263.75,38.75,39.583333333333336,59.583333333333336,213.75,173.54166666666666,4.5,77.58333333333333,0.0,0.0,78.83333333333333,6.0
2016-09-23,286.0,20160923.0,12.5,241.66666666666666,35.0,35.416666666666664,53.333333333333336,150.20833333333334,107.58333333333333,2.7083333333333335,46.458333333333336,0.0,0.0,77.125,6.0
