datum,D STOF AT,SVI 5,SVI 10,SVI 15,SVI 20,SVI 25,SVI 30
9/26/2014,4400,91.89189189,75.67567568,64.86486486,54.05405405,48.64864865,48.64864865
9/30/2014,4600,54.76190476,52.38095238,50,47.61904762,45.23809524,42.85714286
10/3/2014,4600,85.65310493,74.94646681,64.23982869,59.95717345,55.6745182,44.96788009
10/7/2014,4100,112.9032258,80.64516129,69.89247312,61.82795699,53.76344086,51.07526882
10/10/2014,4200,114.5038168,76.33587786,66.15776081,61.06870229,55.97964377,50.89058524
10/14/2014,4600,96.93877551,79.08163265,66.32653061,61.2244898,56.12244898,51.02040816
10/17/2014,4800,121.4285714,97.61904762,85.71428571,73.80952381,66.66666667,64.28571429
10/21/2014,5600,136.9565217,100,84.7826087,80.43478261,69.56521739,65.2173913
10/24/2014,5600,126.6375546,102.6200873,89.51965066,85.15283843,76.41921397,67.68558952
10/28/2014,5200,135.9728054,115.9768046,95.98080384,87.98240352,79.9840032,73.98520296
10/31/2014,4600,167.0428894,130.9255079,108.3521445,101.5801354,94.80812641,90.29345372
11/3/2014,4600,215.3846154,191.2087912,153.8461538,138.4615385,127.4725275,118.6813187
11/7/2014,4600,219.0265487,214.6017699,185.840708,163.7168142,150.4424779,141.5929204
11/10/2014,5000,200.811359,190.6693712,180.5273834,170.3853955,146.0446247,137.9310345
11/12/2014,5300,186.0902256,169.1729323,161.6541353,124.0601504,116.5413534,112.7819549
11/18/2014,4300,360,240,184,160,144,124
11/21/2014,3800,397.515528,173.9130435,149.068323,124.2236025,115.942029,107.6604555
11/26/2014,3800,250,181.1594203,155.7971014,141.3043478,137.6811594,126.8115942
11/28/2014,4000,290.9090909,209.0909091,133.3333333,121.2121212,115.1515152,106.0606061
12/1/2014,6200,351.5625,218.75,171.875,148.4375,132.8125,117.1875
12/4/2014,5400,363.9010189,160.1164483,138.2823872,123.7263464,109.1703057,101.8922853
12/9/2014,4900,333.3333333,140,120,103.3333333,96.66666667,90
12/16/2014,4600,367.1128107,229.4455067,152.9636711,145.3154876,137.667304,126.1950287
12/19/2014,4000,517.5983437,362.3188406,207.0393375,170.8074534,155.2795031,144.9275362
12/22/2014,4700,495.8677686,309.9173554,196.2809917,160.1239669,144.6280992,129.1322314
12/23/2014,4800,500,450,190,150,125,125
12/29/2014,4900,176.7241379,163.7931034,125,120.6896552,90.51724138,86.20689655
12/31/2014,4100,245.9016393,222.4824356,187.35363,163.9344262,158.0796253,146.3700234
1/5/2015,4700,336,196,160,156,140,128
1/7/2015,5000,286.2985685,163.599182,139.0593047,122.6993865,110.4294479,102.2494888
1/9/2015,5600,140.5975395,133.5676626,112.4780316,105.4481547,87.87346221,87.87346221
1/12/2015,5300,138.8888889,131.9444444,111.1111111,104.1666667,86.80555556,86.80555556
1/14/2015,4500,193.6936937,148.6486486,130.6306306,117.1171171,108.1081081,99.0990991
1/15/2015,4700,267.0299728,261.5803815,253.4059946,245.2316076,228.8828338,174.386921
1/15/2015,4700,267.0299728,256.1307902,228.8828338,160.7629428,130.7901907,114.4414169
1/16/2015,3900,275.0716332,263.6103152,252.1489971,243.5530086,160.4584527,128.9398281
1/19/2015,4000,215.2777778,138.8888889,121.5277778,111.1111111,104.1666667,97.22222222
1/23/2015,3900,85.5513308,76.04562738,71.29277567,66.53992395,61.78707224,57.03422053
1/26/2015,4700,98.82352941,80,61.17647059,56.47058824,51.76470588,49.41176471
1/30/2015,5800,141.4141414,92.92929293,80.80808081,72.72727273,66.66666667,58.58585859
2/2/2015,3800,91.09311741,64.77732794,60.72874494,56.68016194,52.63157895,48.58299595
2/6/2015,3900,87.77429467,76.80250784,70.53291536,64.26332288,57.99373041,56.42633229
2/9/2015,3300,80,57.77777778,48.88888889,44.44444444,44.44444444,44.44444444
2/12/2015,4400,78.16091954,59.77011494,50.57471264,45.97701149,43.67816092,41.37931034
2/12/2015,4400,82.75862069,59.77011494,50.57471264,45.97701149,43.67816092,41.37931034
2/16/2015,4400,71.72995781,46.41350211,42.19409283,37.97468354,33.75527426,33.75527426
2/20/2015,4900,64.33823529,45.95588235,40.44117647,38.60294118,36.76470588,36.76470588
2/21/2015,4900,73.39449541,53.21100917,46.78899083,42.20183486,40.36697248,36.69724771
2/27/2015,4800,80.97165992,58.70445344,51.6194332,46.55870445,44.53441296,40.48582996
3/2/2015,4700,63.00813008,48.7804878,40.6504065,38.61788618,36.58536585,36.58536585
3/4/2015,4500,71.00591716,52.07100592,42.6035503,37.86982249,37.86982249,35.50295858
3/6/2015,4800,52.53940455,38.52889667,31.52364273,28.02101576,28.02101576,26.26970228
3/9/2015,4800,52.53940455,38.52889667,31.52364273,28.02101576,28.02101576,
3/12/2015,,,39.02439024,34.14634146,34.14634146,34.14634146,34.14634146
3/16/2015,4100,51.61290323,34.40860215,30.10752688,30.10752688,27.95698925,27.95698925
3/20/2015,4400,52,36,32,28,28,28
3/23/2015,4800,60.86956522,43.47826087,36.95652174,34.7826087,32.60869565,32.60869565
3/27/2015,6300,81.25,58.33333333,45.83333333,43.75,41.66666667,39.58333333
3/30/2015,5400,92.13051823,69.09788868,57.5815739,49.90403071,46.06525912,46.06525912
4/3/2015,6900,132.3076923,89.23076923,73.84615385,67.69230769,58.46153846,55.38461538
4/7/2015,6200,148.4848485,143.9393939,128.7878788,112.1212121,96.96969697,89.39393939
4/10/2015,6000,106.4516129,64.51612903,54.83870968,48.38709677,41.93548387,38.70967742
4/13/2015,5400,164.1586867,109.4391245,95.75923393,87.55129959,82.07934337,76.60738714
