datum ,Respiratie (mg.g.h)
9/12/2014,22.0
12/2/2014,18.5
12/18/2014,22.0
2/26/2015,11.4
3/10/2015,21.4
3/17/2015,23.1
3/23/2015,25.0
4/3/2015,25.7
7/17/2015,27.8
8/17/2015,17.5
10/20/2015,18.8
10/21/2015,16.5
10/23/2015,19.3
11/18/2015,12.5
11/25/2015,23.3
12/2/2015,14.7
12/9/2015,15.3
1/14/2016,19.9
1/18/2016,22.8
1/25/2016,12.7
2/3/2016,16.7
2/10/2016,19.6
2/15/2016,16.4
2/18/2016,18.6
2/24/2016,28.0
2/29/2016,27.5
3/3/2016,18.4
3/7/2016,19.3
3/9/2016,20.0
3/11/2016,24.6
3/21/2016,20.3
3/29/2016,21.3
4/4/2016,48.4
4/13/2016,17.5
4/20/2016,28.1
4/25/2016,13.1
4/28/2016,17.7
17-May,22
18-May,18.7
24-May,26.8
6/2/2016,19.5
6/7/2016,29.7
6/13/2016,15.9
6/17/2016,23.5
6/27/2016,17.4
7/4/2016,22.8
7/7/2016,19.1
7/12/2016,19.0
7/18/2016,16.1
7/22/2016,19.9
7/27/2016,24.0
8/1/2016,24.0
8/24/2016,22.5
10/5/2016,18.2
12/19/2016,18.0
